Ref,Qty,Description,MF,MF PN,S1,S1_PN
C2 C6,2,CAP CER 10UF 25V X7R 1210,Taiyo Yuden,TMK325B7106KN-TR,Digikey,587-2599-1-ND
C3 C4,2,CAP CER 22pF 100V C0G NP0 0603,Kemet,C0805C220J5GACTU,Digikey,399-11145-1-ND
C7 C8 C9 C1 C5,5,CAP CER 0.1UF 100V X7R 0603,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND
D1,1,TVS DIODE 14VWM 23.2VC SMAJ14A-13-F SMA,TI,SMAJ14A-13-F,Digikey,SMAJ14A-FDICT-ND
D2 D3,2,DIODE SCHOTTKY 20V 1A SMA,Vishay,SS12-E3/61T,Digikey,SS12-E3/61TGICT-ND
F1,1,RESETTABLE FUSE 1.1A 25V MF-MSMF,Bourns,MF-MSMF110/24X-2,Digikey,MF-MSMF110/24X-2CT-ND
J1,1,CONN TERM SCREW GREEN 2.54MM 2POS TH,OnShoreTech,OSTVN02A150,Digikey,ED10561-ND
J2,1,HEADER MALE 6POS TH 1x06 0.1”,Harwin,M20-9992046,Digikey,952-1902-ND
J3,1,HEADER MALE 6POS 2x3 0.1”,Harwin,M20-9720345,Digikey,952-1921-ND
J4 J5,2,HEADER FEMALE 12POS TH 1x12 0.1”,Harwin,M20-7822046,Digikey,952-1905-ND
JP1,1,SHUNT JUMPER 0.1IN BLACK GOLD,3M,969102-0000-DA,Digikey,3M9580-ND
LED1,1,LED AMBER DIFFUSED 0603 SMD,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND
R1,1,RES SMD 10K OHM 5% 1/8W 0805,Yageo,RC0805JR-0710KL,Digikey,311-10KARCT-ND
R2,1,RES SMD 220 OHM 5% 1/10W 0603,Yageo,RC0603JR-0722RL,Digikey,311-22GRCT-ND
S1,1,SWITCH TACTILE SPST-NO 0.05A 12V,Omron,B3U-1000P,Digikey,SW1020CT-ND
U1,1,IC REG LDO 5V 1.1A NCP1117 DPAK,ON Semi,NCP1117DT50G,Digikey, NCP1117DT50GOS-ND
U2,1,IC MCU 8BIT 32KB FLASH 32TQFP,Atmel,ATMEGA328P-AU,Digikey,ATMEGA328P-AU-ND
X1,1,CRYSTAL 16MHz 18pF 40 OHM 4SMD,CTS,406I35D16M00000,Digikey,CTX1206CT-ND
