Ref,Qty,Description,Digikey PN
C1 C2 C5,3,CAP CER 1UF 25V X7R 0603,587-2984-1-ND
C10 C11 C4 C7 C9,5,CAP CER 0.1UF 100V X7R 0603,490-3285-1-ND
C3,1,CAP CER 10UF 16V X7R 0805,1276-2872-1-ND
C6 C8,2,CAP CER 22pF 50V NP0 0603,399-9031-1-ND
D1 D3,2,VARISTOR ESD PROTECT USB,CG0603MLC-05ECT-ND
D2,1,DIODE SCHOTTKY 20V 1A SMA,SS12-E3/61TGICT-ND
J1,1,HEADER MALE 5POS TH 1x05 0.1IN,952-1902-ND
J2,1,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,609-4616-1-ND
J3 J4,2,HEADER FEMALE 18POS TH 1x18 0.1IN,952-1905-ND
L1 L2 L3,3,FERRITE BEAD 30 OHM 0805 1LN,MH2029-300YCT-ND
R1,1,RES SMD 1K OHM 1% 1/10W 0603,1276-3484-1-ND
R2,1,RES SMD 10K OHM 1% 1/8W 0603,RNCP0603FTD10K0CT-ND
R3,1,RES SMD 330 OHM 5% 1/10W 0603,311-330GRCT-ND
S1,1,SWITCH TACTILE SPST-NO 0.05A 12V,SW1020CT-ND
U1,1,IC REG LDO 3.3V 0.5A BU33SD5WG 5SSOP,BU33SD5WG-TRCT-ND
U2,1,IC MCU 32BIT 256KB FLASH ATSAMD21G 48TQFP,ATSAMD21G18A-AUTCT-ND
X1,1,CRYSTAL 16MHZ 30PPM 18pF 4SMD,CTX1206CT-ND
