Ref,Qty,Qty3,Description,MF,MF_PN,S1,S1_PN,Type
C1 C2 C5,3,9,CAP CER 1UF 25V X7R 0603,Taiyo Yuden,TMK107B7105KA-T,Digikey,587-2984-1-ND,
C10 C11 C4 C7 C9,5,15,CAP CER 0.1UF 100V X7R 0603,Murata,GRM188R72A104KA35D,Digikey,490-3285-1-ND,
C3,1,3,CAP CER 10UF 16V X7R 0805,Samsung,CL21B106KOQNNNE,Digikey,1276-2872-1-ND,
C6 C8,2,6,CAP CER 22pF 50V NP0 0603,Kemet,C0603C220K4GACTU,Digikey,399-9031-1-ND,
D1 D3,2,6,VARISTOR ESD PROTECT USB,Bourns,CG0603MLC-05E,Digikey,CG0603MLC-05ECT-ND,
D2,1,3,DIODE SCHOTTKY 20V 1A SMA,Vishay,SS12-E3/61T,Digikey,SS12-E3/61TGICT-ND,
J1,1,3,HEADER MALE 5POS TH 1x05 0.1IN,Harwin,M20-9992046,Digikey,952-1902-ND,
J2,1,3,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,Amphenol,10118193-0001LF,Digikey,609-4616-1-ND,
J3 J4,2,6,HEADER FEMALE 18POS TH 1x18 0.1IN,Harwin,M20-7822046,Digikey,952-1905-ND,
L1 L2 L3,3,9,FERRITE BEAD 30 OHM 0805 1LN,Bourns,MH2029-300Y,Digikey,MH2029-300YCT-ND,
R1,1,3,RES SMD 1K OHM 1% 1/10W 0603,Samsung,RC1608F102CS,Digikey,1276-3484-1-ND,
R2,1,3,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND,
R3,1,3,RES SMD 330 OHM 5% 1/10W 0603,Yageo,RC0603JR-07330RL,Digikey,311-330GRCT-ND,
S1,1,3,SWITCH TACTILE SPST-NO 0.05A 12V,Omron,B3U-1000P,Digikey,SW1020CT-ND,
U1,1,3,IC REG LDO 3.3V 0.5A BU33SD5WG 5SSOP,Rohm Semi,BU33SD5WG-TR,Digikey,BU33SD5WG-TRCT-ND,
U2,1,3,IC MCU 32BIT 256KB FLASH ATSAMD21G 48TQFP,Atmel,ATSAMD21G18A-AUT,Digikey,ATSAMD21G18A-AUTCT-ND,
X1,1,3,CRYSTAL 16MHZ 30PPM 18pF 4SMD,CTS,406I35D16M00000,Digikey,CTX1206CT-ND,
