Refdes,Quantity,Description,Manufacturer,MPN
C1 C2 C5,3,CAP CER 1UF 25V X7R 0603,Taiyo Yuden,TMK107B7105KA-T
C10 C11 C4 C7 C9,5,CAP CER 0.1UF 100V X7R 0603,Murata,GRM188R72A104KA35D
C3,1,CAP CER 10UF 16V X7R 0805,Samsung,CL21B106KOQNNNE
C6 C8,2,CAP CER 22pF 50V NP0 0603,Kemet,C0603C220K4GACTU
D1 D3,2,VARISTOR ESD PROTECT USB,Bourns,CG0603MLC-05E
D2,1,DIODE SCHOTTKY 20V 1A SMA,Vishay,SS12-E3/61T
J1,1,HEADER MALE 5POS TH 1x05 0.1IN,Harwin,M20-9992046
J2,1,USB MICRO-B RECEPTACLE 5PIN SMT R/A STUDS,Amphenol,10118193-0001LF
J3 J4,2,HEADER FEMALE 18POS TH 1x18 0.1IN,Harwin,M20-7822046
L1 L2 L3,3,FERRITE BEAD 30 OHM 0805 1LN,Bourns,MH2029-300Y
R1,1,RES SMD 1K OHM 1% 1/10W 0603,Samsung,RC1608F102CS
R2,1,RES SMD 10K OHM 1% 1/8W 0603,Stackpole,RNCP0603FTD10K0
R3,1,RES SMD 330 OHM 5% 1/10W 0603,Yageo,RC0603JR-07330RL
S1,1,SWITCH TACTILE SPST-NO 0.05A 12V,Omron,B3U-1000P
U1,1,IC REG LDO 3.3V 0.5A BU33SD5WG 5SSOP,Rohm Semi,BU33SD5WG-TR
U2,1,IC MCU 32BIT 256KB FLASH ATSAMD21G 48TQFP,Atmel,ATSAMD21G18A-AUT
X1,1,CRYSTAL 16MHZ 30PPM 18pF 4SMD,CTS,406I35D16M00000
