Ref,Qty,Value,Footprint,Footprint Library,Symbol,Symbol Library,Datasheet,MF_Name,MF_PN,S1_Name,S1_PN,Description
AN1,1,UFL,U.FL-COAX,Wickerlib,CONN-UFL-HIROSE-R-SMD,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Hirose%20PDFs/UFL%20Series.pdf,Hirose,U.FL-R-SMT-1(01,Digikey,H122041-ND,CONN UFL JACK STR 50 OHM SMD
BAT1,1,CR1220,BATT-HOLDER-CR1220-BK-916,Wickerlib,BATT-CR1220-HOLDER-SMT-FLATPIN,wickerlib,http://www.memoryprotectiondevices.com/datasheets/BK-916-datasheet.pdf,MPD,BK-916-TR,Digikey,BK-916-CT-ND,CR1220 BATTERY HOLDER SMT FLATPIN
C3 C2 C1,3,1uF,RLC-0603-SMD,Wickerlib,CAP-CER-1UF-10V-X7R-0603,wickerlib,http://www.samsungsem.com/kr/support/product-search/mlcc/CL10B105KP8NNNC.jsp,Samsung,CL10B105KP8NNNC,Digikey,1276-1946-1-ND,CAP CER 1UF 10V X7R 0603
C4,1,10nF,RLC-0603-SMD,Wickerlib,CAP-CER-10NF-50V-X7R-0603,wickerlib,http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM188R71H103KA01-01.pdf,Murata,GRM188R71H103KA01D,Digikey,490-1512-1-ND,CAP CER 0.01UF 50V X7R 0603
D1,1,BAS16,SOD-323,Wickerlib,DIODE-GEN-PURP-75V-250MA-BAS16-SOD323,wickerlib,http://www.vishay.com/docs/85752/bas16ws.pdf,Vishay,BAS16WS-E3-08,Digikey,BAS16WS-E3-08CT-ND,DIODE GEN PURP 75V 250MA BAS16 SOD323
J1,1,BREAKOUT,CONN-HEADER-STRAIGHT-P2.54MM-1x10,Wickerlib,HEADER-MALE-10POS-TH-1x10-P0.1IN,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,Harwin,M20-9992046,Digikey,952-1902-ND,HEADER MALE 10POS TH 1x10 0.1”
LED1,1,AMBER,LED-0603-SMD,Wickerlib,LED-AMBER-0603-SMT-L296-Q2R2,wickerlib,http://media.digikey.com/pdf/Data%20Sheets/Osram%20PDFs/LSLALOLY_296.pdf,OSRAM Opto,LA L296-Q2R2-1-Z,Digikey,475-2712-1-ND,LED AMBER DIFFUSED 0603 SMD
R1,1,10K,RLC-0603-SMD,Wickerlib,RES-10K-1%-1/8W-0603,wickerlib,http://www.seielect.com/catalog/SEI-RNCP.pdf,Stackpole,RNCP0603FTD10K0,Digikey,RNCP0603FTD10K0CT-ND,RES SMD 10K OHM 1% 1/8W 0603
R3 R2,2,470,RLC-0603-SMD,Wickerlib,RES-470-5%-1/4W-0603,wickerlib,http://rohmfs.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/esr.pdf,Rohm Semi,ESR03EZPJ471,Digikey,RHM470DCT-ND,RES SMD 470 OHM 5% 1/4W 0603
S1,1,RESET,SWITCH-OMRON-MOMENTARY-SMD-B3U-1000P,Wickerlib,SWITCH-TACTILE-SPST-NO-0.05A-12V,wickerlib,http://www.omron.com/ecb/products/pdf/en-b3u.pdf,Omron,B3U-1000P,Digikey,SW1020CT-ND,SWITCH TACTILE SPST-NO 0.05A 12V
U1,1,MIC5365,SOT-353,Wickerlib,IC-REG-LDO-3.3V-0.15A-MIC5365-SOT353,wickerlib,http://rohmfs.rohm.com/en/products/databook/datasheet/ic/power/linear_regulator/buxxsd5wg-e.pdf,Microchip,MIC5365-3.3YC5-TR,Digikey,576-3193-1-ND,IC REG LDO 3.3V 0.15A SOT353
U2,1,FGPMMOPA6H-GPS,FGPMMOPA6H,Wickerlib,MODULE-GPS-FGPMMOPA6H-MTK3339,wickerlib,https://cdn.harwin.com/pdfs/60page140.pdf,GlobalTop,FGPMMOPA6H,Adafruit,790,GPS MODULE PA6H MTK3339
