Ref,Qty,Qty3,Description,Digikey PN
C1 C3 C4,3,9,CAP CER 2.2UF 10V X7R 0603,490-4520-1-ND
C2,1,3,CAP CER 4.7UF 6.3V X7R 0603,1276-2087-1-ND
J1,1,3,USB MICRO-B CONN 5PIN SMT STUDS,609-4616-1-ND
J2,1,3,CONN HEADER PH SIDE 2POS 2MM,455-1719-ND
J3 J4,2,6,HEADER MALE 7POS TH 1x07 0.1IN,952-1902-ND
LED1,1,3,LED RED DIFFUSED 0603 SMD,516-3074-1-ND
R1,1,3,RES SMD 0.0 OHM JUMPER 1/8W 0603,MCT0603-0.0-ZZCT-ND
R2 R5 R6,3,9,RES SMD 10K OHM 1% 1/8W 0603,RNCP0603FTD10K0CT-ND
R3,1,3,NTC THERMISTOR 10K OHM 5% 0603,445-174327-1-ND
R4,1,3,RES SMD 604 OHM 1% 1/10W 0603,P604HCT-ND
S2,1,3,SWITCH SLIDE SPDT 200MA 30V,EG1903-ND
U1,1,3,IC LI-ION BATT CHARGER LDO STNS01 DFN12,497-13880-1-ND
U2,1,3,IC REG LDO 3.3V 0.3A SOT23-3,AP7333-33SAG-7DICT-ND
